candidate,candidate_name,instagram_username,own_posts_raw,own_posts,own_posts_retrieved,items,unique_users,sum_child_comment_count,sum_comment_like_count,sum_post_like_count,sum_post_comment_count
hnd01monc,Rixi Ramona Moncada,rixipresidenta,374,373,2,0,0,0,0,228014,3350
hnd02cast,Xiomara Castro de Zelaya,xiomaracastroz,2,2,0,0,0,0,0,6039,363
hnd03gonz,Yamileth Gonzales,yamilethgonzaleshn,46,46,2,2,2,0,0,154,3
hnd04guan,Karen Guandique,karenguandique7,4,4,1,2,2,0,0,124,25
hnd05pere,Kritza Pérez,kritzaperez,17,17,9,75,45,9,0,1313,174
hnd06hayd,Carmen Haydeé,haydeevos,73,73,37,76,45,2,0,12085,380
hnd07elvi,Iroshka Elvir,iroshka_nasralla,222,209,1,3,2,0,0,582863,37042
hnd08cano,Lissi Matute Cano,lissimatutecano,211,109,35,0,0,0,0,13286,961
hnd09sosa,Maria José Sosa,soymj17,41,38,10,0,0,0,0,3209,173
hnd10sier,Grace Sierra,gracesierrahn,11,9,6,0,0,0,0,1584,47
hnd11pine,Iris Pineda,diputadairispineda,6,6,0,0,0,0,0,35,1
hnd12ando,Daisy Andonie,daisyandoniel,29,1,8,0,0,0,0,2180,195
hnd13hall,Ana Paola Hall,anap.hall,12,12,0,0,0,0,0,2177,66
hnd14espi,Maribel Espinoza,mespinoza.hn,9,9,0,0,0,0,0,964,62
hnd15lope,Cossette López,cossetteoficial,10,3,0,0,0,0,0,12364,642
hnd16asfu,Nasry Asfura,papialaorden,347,219,3,9,9,0,0,560757,12056
hnd17nasr,Salvador Nasralla,salvadornasralla,255,254,0,0,0,0,0,1436646,43158
hnd18avil,Jorge Nelson Ávila Gutiérrez,nelsonavilapresidente,0,0,0,0,0,0,0,0,0
hnd19rive,Mario Rivera Callejas,soychanorivera,56,43,1,2,2,0,0,1692,191
hnd20barr,Ramon Barrios,ramon.barrios05,239,208,0,0,0,0,0,5104,67
