candidate,candidate_name,twitter_username,own_posts_raw,own_posts,own_posts_retrieved,items,tweets,replies,retweets,quotes,media_items,sum_reply_count,sum_retweet_count,sum_quote_count,sum_favorite_count
hnd01monc,Rixi Ramona Moncada,RixiPresidenta,178,178,2,9,9,9,0,0,9,3,0,0,5
hnd02cast,Xiomara Castro de Zelaya,XiomaraCastroZ,45,5,5,1337,1336,1325,1,5,1246,860,846,96,14280
hnd03gonz,Yamileth Gonzales,YamiGonzalesj,96,63,17,44,44,43,0,0,42,9,13,1,83
hnd04guan,Karen Guandique,KarenGuandique,51,1,1,1,1,1,0,0,1,0,0,0,1
hnd05pere,Kritza Pérez,KritzaPerez,27,0,0,0,0,0,0,0,0,0,0,0,0
hnd06hayd,Carmen Haydeé,flophaydee,64,47,45,1184,1183,1171,1,2,1109,273,595,56,4898
hnd07elvi,Iroshka Elvir,IroshkaElvir,96,78,32,1202,1202,1202,0,6,1128,166,130,5,2219
hnd08cano,Lissi Matute Cano,LissiCano,54,28,19,748,747,735,1,2,680,146,374,74,3992
hnd09sosa,Maria José Sosa,soymj17,328,294,194,2724,2723,2680,1,4,2552,1179,2041,330,25271
hnd10sier,Grace Sierra,GraceSierra1,19,0,0,0,0,0,0,0,0,0,0,0,0
hnd11pine,Iris Pineda,IrisPinedaPaz,45,1,0,0,0,0,0,0,0,0,0,0,0
hnd12ando,Daisy Andonie,DaisyAndonie,23,5,1,0,0,0,0,0,0,0,0,0,0
hnd13hall,Ana Paola Hall,APHall_CNE,43,27,0,0,0,0,0,0,0,0,0,0,0
hnd14espi,Maribel Espinoza,MaribelE59,78,53,43,831,831,829,0,6,798,566,349,72,4435
hnd15lope,Cossette López,CossetteOficial,63,21,0,0,0,0,0,0,0,0,0,0,0
hnd16asfu,Nasry Asfura,titoasfura,47,5,5,636,636,636,0,3,596,119,130,3,2044
hnd17nasr,Salvador Nasralla,SalvaPresidente,145,126,1,3,3,3,0,0,3,0,0,0,0
hnd18avil,Jorge Nelson Ávila Gutiérrez,Nelson_Avila_Hn,15,15,6,14,14,14,0,0,14,2,0,0,30
hnd19rive,Mario Rivera Callejas,SoyChanoRivera,39,20,5,118,118,118,0,0,116,5,13,0,139
hnd20barr,Ramon Barrios,ramonbarriosm,29,11,8,42,42,42,0,0,41,2,1,0,19
